Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
163	Brücke	schlagen	n			6	Brücken	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	43	0	11	0	36	1	0	4	0	1	0	0	36	0	441	3	1	0	0	273	2	0	0	0	0	0	0	0	88	0	0	0	0	52	0
198	Haar	schneiden	e			5	Haare	geschnitten	X	schneidet|schnitten|schneide|schneiden|schneidest|schnitt|schnitte	584	28	121	3	990	10	4	240	13	184	11	2	220	15	815	153	7	0	0	52	6	1	0	1	0	0	0	0	101	40	0	2	0	47	18
167	Zitrone	schnitzen	n			5	Zitronen	geschnitzt	X	schnitzte|schnitzten|schnitzen|schnitze|schnitzt	43	0	6	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
27	Fahne	schwenken	n			33	Fahnen	geschwenkt	X	schwenkte|schwenkten|schwenken|schwenke|schwenkt	296	7	81	2	28	2	0	47	0	1	0	0	156	9	126	7	0	0	0	17	3	5	0	2	1	0	0	1	67	7	0	0	1	23	0
18	Farbe	sehen	n			51	Farben	gesehn	X	sähe|sah|seht|siehts|sahst|siehst|sieht|sehe|sehen|sahen|seh	399	3	204	0	360	26	0	40	1	0	0	0	128	1	360	18	0	0	0	100	5	1	0	0	0	0	0	0	0	1	0	0	0	91	13
155	Grenze	setzen	n			6	Grenzen	gesetzt	X	setzten|setzen|setzte|setze|setzet|setzt	46	0	14	0	368	9	0	11	0	20	0	0	23	0	2251	71	0	0	0	1041	28	0	0	1	0	0	1	0	5452	108	1	0	0	813	36
121	Psalm	singen	en			7	Psalmen	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	25	0	7	0	9	0	0	11	0	0	0	0	10	0	66	0	1	0	0	19	0	0	0	0	0	0	0	0	23	0	0	1	0	11	0
124	Martin	singen	s			7	Martin	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	95	3	39	1	0	0	1	15	0	0	0	0	32	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
126	Leistung	singen	s			7	Leistungen	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	121	0	41	0	0	0	0	22	0	0	0	0	43	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
38	Punkt	springen	e			23	Punkte	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	92	0	23	0	7	1	0	60	0	0	0	2	21	0	17	2	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	14	0
44	Mannschaft	springen	s			21	Mannschaften	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	170	4	58	0	0	0	0	64	1	0	0	0	28	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
63	Klippe	springen	n			15	Klippen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	104	1	14	0	8	2	0	24	0	0	0	0	97	3	26	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	3	1
150	Lücke	springen	n			6	Lücken	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	16	1	2	0	5	0	0	2	1	0	0	0	13	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
