Index	Osort	Noun	Verb	Linking	Compound	Valency	Relation	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
637	207	Hubertus	schießen	0	Hubertusschießen	Optional	Adjunct			5	Hubertus	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	28	0	6	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
641	208	Herbst	schießen	0	Herbstschießen	Optional	Adjunct			5	Herbste	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	31	0	9	0	0	0	0	8	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
663	209	Bürger	schießen	0	Bürgerschießen	Optional	Adjunct			5	Bürger	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	125	0	35	0	7	0	0	28	0	0	0	0	21	0	12	0	1	0	0	4	0	6	0	0	0	0	0	0	3	0	0	1	0	4	0
323	210	Zeit	schinden	0	Zeitschinden	Transitive	Object			11	Zeiten	geschunden	X	schund|schinden|schindet	116	10	20	2	59	1	0	25	2	4	3	0	70	12	352	43	5	0	0	312	17	0	0	1	0	0	0	0	68	4	0	0	1	20	3
611	211	Probe	schlafen	0	Probeschlafen	Intransitive	Adjunct			5	Proben	geschlafen	X	schlafen|schlafe|schläfst|schlief|schlaft|schliefe|schläft|schliefen	56	14	8	0	0	0	0	12	0	0	0	0	37	14	6	2	0	0	1	7	2	0	0	0	0	0	2	5	5	1	0	0	0	0	0
87	212	Topf	schlagen	0	Topfschlagen	Transitive	Undetermined			52	Töpfen	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	475	18	23	1	6	0	0	58	3	0	0	0	469	26	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
117	213	Flügel	schlagen	0	Flügelschlagen	Transitive	Adjunct			38	Flügel	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	386	4	86	0	15	2	0	13	0	1	0	0	199	5	33	2	0	0	0	3	0	2	0	0	0	0	0	0	2	0	0	22	0	21	1
158	214	Lenker	schlagen	0	Lenkerschlagen	Transitive	Adjunct			25	Lenker	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	169	16	47	3	4	0	0	13	0	1	0	0	99	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
204	215	Kopf	schlagen	0	Kopfschlagen	Transitive	Object			19	Köpfe	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	232	22	73	5	738	0	0	8	0	28	3	0	141	14	63	118	0	0	0	12	14	2	0	1	0	0	3	2	27	57	0	0	0	213	21
256	216	Haken	schlagen	0	Hakenschlagen	Transitive	Object			15	Haken	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	130	6	24	1	85	2	0	16	1	7	1	0	76	6	327	37	1	0	0	45	1	0	0	1	0	0	0	0	37	6	0	0	0	75	4
287	217	Rad	schlagen	0	Radschlagen	Transitive	Object			13	Räder	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	91	14	11	0	63	0	1	17	0	4	0	0	80	15	50	4	1	0	1	5	0	0	0	0	0	0	0	2	6	1	0	2	1	28	0
343	218	Feuer	schlagen	0	Feuerschlagen	Transitive	Adjunct			11	Feuern	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	50	0	11	0	2	0	0	19	0	1	0	0	18	0	28	0	0	0	0	6	0	0	0	0	0	0	0	0	14	1	0	0	0	20	1
537	219	Holz	schlagen	0	Holzschlagen	Transitive	Adjunct			6	Hölzer	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	52	2	6	0	35	0	0	25	1	13	0	0	12	2	111	1	1	0	0	65	0	0	0	0	0	0	0	0	151	1	0	4	0	34	3
601	220	Schweif	schlagen	0	Schweifschlagen	Transitive	Object			5	Schweif	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	57	5	24	0	7	0	0	2	0	0	0	0	41	3	5	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	5	0
605	221	Schaum	schlagen	0	Schaumschlagen	Transitive	Object			5	Schäume	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst	29	2	4	0	3	1	0	10	0	1	0	0	15	1	47	0	0	0	0	10	0	1	0	0	0	0	0	0	22	1	0	0	2	17	2
17	222	Zucker	schlecken	0	Zuckerschlecken	Transitive	Object			324	Zucker	geschleckt	X	schleckte|schleckten|schlecken|schleckt	3051	201	2786	188	43	7	0	10	1	0	0	0	143	24	10	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
178	223	Honig	schlecken	0	Honigschlecken	Transitive	Object			22	Honige	geschleckt	X	schleckte|schleckten|schlecken|schleckt	180	8	137	6	6	1	0	5	0	2	0	0	23	3	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
551	224	Eis	schlecken	0	Eisschlecken	Transitive	Object			6	Eis	geschleckt	X	schleckte|schleckten|schlecken|schleckt	58	1	8	0	38	0	1	24	1	7	0	1	19	1	78	4	1	0	0	5	0	0	0	3	0	0	0	0	13	0	0	0	0	15	0
410	225	Streit	schlichten	0	Streitschlichten	Transitive	Object			8	Streiten	geschlichtet	X	schlichteten|schlichten|schlichtet|schlichtete|schlichte	53	1	13	0	161	2	0	19	0	4	0	0	28	1	205	11	0	0	0	120	7	2	0	0	0	0	0	0	21	1	0	1	0	22	0
662	226	Cocktail	schlürfen	0	Cocktailschlürfen	Optional	Object			5	Cocktails	geschlürft	X	schlürfen|schlürfte|schlürften|schlürft|schlürfe	27	1	0	0	44	2	0	11	0	5	1	0	11	0	31	4	1	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	8	0
157	227	Luft	schnappen	0	Luftschnappen	Transitive	Undetermined			25	Lüften	geschnappt	X	schnappten|schnappen|schnappe|schnappt|schnappte	202	13	23	2	69	3	1	75	3	27	1	0	75	6	1196	45	2	2	1	310	12	3	0	4	0	0	0	0	123	12	0	0	0	351	12
496	228	Wurst	schnappen	0	Wurstschnappen	Transitive	Object			6	Würste	geschnappt	X	schnappten|schnappen|schnappe|schnappt|schnappte	36	0	6	0	1	0	0	5	0	0	0	0	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
293	229	Holz	schnitzen	0	Holzschnitzen	Optional	Object			13	Hölzer	geschnitzt	X	schnitzte|schnitzten|schnitzen|schnitze|schnitzt	99	1	19	0	16	0	0	11	0	1	0	0	105	2	50	4	0	0	0	28	2	2	0	0	0	0	3	79	477	7	0	6	1	26	1
556	230	Deck	schrubben	0	Deckschrubben	Optional	Object			6	Decks	geschrubbt	X	schrubbten|schrubben|schrubbt|schrubbte	34	1	6	0	39	0	0	15	0	8	0	0	26	2	33	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
454	231	Saft	schubsen	0	Saftschubsen	Transitive	Object			7	Säfte	geschubst	X	schubse|schubst|schubsten|schubsen|schubste	42	3	24	0	0	0	0	0	0	0	0	0	28	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	11	0	0
526	232	Maus	schubsen	0	Mausschubsen	Transitive	Object			6	mäuse	geschubst	X	schubse|schubst|schubsten|schubsen|schubste	19	5	1	0	5	0	0	7	0	0	0	0	14	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
339	233	Gold	schürfen	0	Goldschürfen	Transitive	Object			11	Goldes	geschürft	X	schürften|schürfen|schürfte|schürft	112	2	11	0	4	0	1	49	1	9	0	1	52	1	120	1	1	0	0	43	0	0	0	0	0	0	0	0	62	0	0	0	0	25	0
168	234	Rücken	schweben	0	Rückenschweben	Intransitive	Adjunct			23	Rücken	geschwebt	X	schwebt|schwebten|schwebst|schwebte|schweben|schwebe	99	9	23	0	6	0	0	17	1	1	1	0	62	3	4	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	2	5	0
110	235	Laser	schweißen	0	Laserschweißen	Optional	Adjunct			41	Lasern	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	340	14	83	0	5	0	0	76	0	0	0	0	195	6	0	1	2	0	0	0	0	2	0	0	0	0	2	21	7	0	0	0	0	1	0
162	236	Punkt	schweißen	0	Punktschweißen	Optional	Adjunct			24	Punkte	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	131	8	39	0	0	0	0	20	0	0	0	0	93	10	1	1	0	1	0	0	0	0	0	0	0	0	15	48	2	1	0	1	0	0	0
210	237	Ultraschall	schweißen	0	Ultraschallschweißen	Optional	Adjunct			18	Ultraschalles	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	82	0	30	0	0	0	0	17	0	0	0	0	60	1	2	0	1	0	0	1	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0
225	238	Kunststoff	schweißen	0	Kunststoffschweißen	Optional	Object			17	kunststoffe	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	106	7	13	0	0	0	0	20	2	1	0	0	79	9	9	2	2	0	0	1	0	2	0	0	0	0	1	1	1	0	0	0	0	1	0
336	239	Plasma	schweißen	0	Plasmaschweißen	Optional	Adjunct			11	Plasma	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	33	0	8	1	0	0	0	6	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
346	240	Elektro	schweißen	0	Elektroschweißen	Optional	Adjunct			11	Elektro	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	71	0	13	0	0	0	0	18	0	0	0	0	39	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
347	241	Bolzen	schweißen	0	Bolzenschweißen	Optional	Adjunct			11	Bolzen	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	31	1	9	0	1	0	0	4	0	0	0	0	34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	242	Auftrag	schweißen	0	Auftragschweißen	Optional	Adjunct			6	Aufträge	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	51	4	14	1	0	0	0	9	0	0	0	0	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
609	243	Roboter	schweißen	0	Roboterschweißen	Optional	Adjunct			5	Roboter	geschweißt	X	schweißen|schweissen|schweiße|schweisst|schweißten|schweißte|schweißt|schweisste|schweisse	31	0	6	0	0	0	0	6	0	0	0	0	20	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
479	244	Fähnchen	schwenken	0	Fähnchenschwenken	Transitive	Object			7	Fähnchen	geschwenkt	X	schwenkte|schwenkten|schwenken|schwenke|schwenkt	39	0	7	0	4	1	0	9	0	2	0	0	28	1	47	0	0	0	0	3	1	0	0	0	0	0	0	0	10	1	0	0	0	6	3
437	245	Bach	schwinden	0	Bachschwinden	Erroneous	Erroneous			8	Bäche	geschwunden	X	schwindet|schwänden|schwand|schwanden|schwinden|schwinde	74	0	9	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1
207	246	Aura	sehen	0	Aurasehen	Transitive	Object			19	Auren	gesehn	X	sähe|sah|seht|siehts|sahst|siehst|sieht|sehe|sehen|sahen|seh	62	1	19	0	93	5	0	11	0	5	0	0	50	2	80	10	7	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	14	2
200	247	Segel	setzen	0	Segelsetzen	Transitive	Object			19	Segel	gesetzt	X	setzten|setzen|setzte|setze|setzet|setzt	182	3	34	0	196	0	0	92	2	29	0	0	58	5	521	4	1	0	0	41	0	2	0	1	0	0	1	0	134	0	0	3	1	46	2
485	248	Feuer	setzen	0	Feuersetzen	Transitive	Object			7	Feuern	gesetzt	X	setzten|setzen|setzte|setze|setzet|setzt	61	0	16	0	18	0	0	7	0	26	1	0	39	0	30	1	0	0	0	10	1	0	0	1	0	0	0	0	25	0	0	2	0	15	1
625	249	Licht	setzen	0	Lichtsetzen	Transitive	Object			5	Lichter	gesetzt	X	setzten|setzen|setzte|setze|setzet|setzt	22	0	6	0	35	0	0	4	0	43	0	0	14	0	49	2	0	0	0	18	1	0	0	0	0	0	0	0	17	4	0	0	0	32	0
599	250	Seife	sieden	0	Seifesieden	Transitive	Object			5	Seife	gesotten	X	sott|sieden|sotten|siedet	12	1	4	0	1	0	0	4	0	2	1	0	4	1	25	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
606	251	Salz	sieden	0	Salzsieden	Transitive	Object			5	Salze	gesotten	X	sott|sieden|sotten|siedet	50	0	22	0	0	0	0	17	0	0	0	0	15	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
93	252	Ei	singen	0	Eisingen	Optional	Erroneous			49	Eier	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	376	2	2	0	1	0	0	0	0	0	0	0	380	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
270	253	Mantra	singen	0	Mantrasingen	Optional	Object			14	Mantras	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	121	0	17	0	6	0	0	9	0	1	0	0	128	0	10	1	19	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
272	254	Kritik	singen	0	Kritiksingen	Optional	Object			14	Kritiken	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	54	0	17	0	0	0	0	7	0	0	0	0	22	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
362	255	Mai	singen	0	Maisingen	Optional	Adjunct			10	Mai	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	81	0	23	0	1	0	0	12	0	0	0	0	17	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
404	256	Blatt	singen	0	Blattsingen	Optional	Adjunct			9	Blätter	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	47	1	7	0	0	0	0	8	0	66	0	1	36	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	257	Karaoke	singen	0	Karaokesingen	Optional	Adjunct			8	Karaoke	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	69	2	11	0	7	2	3	26	0	27	2	3	25	2	197	12	4	0	0	32	0	1	0	0	0	0	0	0	72	6	0	0	0	25	0
515	258	Probe	singen	0	Probesingen	Optional	Adjunct			6	Proben	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	46	1	14	0	3	0	0	15	0	1	0	0	16	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	2	0
517	259	Preis	singen	0	Preissingen	Optional	Adjunct			6	Preisen	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	68	0	19	0	0	0	0	14	0	0	0	0	26	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0
596	260	Sommer	singen	0	Sommersingen	Optional	Adjunct			5	Sommer	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst	28	0	6	0	1	0	0	2	0	4	0	0	4	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0
156	261	Nacht	skaten	0	Nachtskaten	Intransitive	Adjunct			25	Nächten	geskatet	X	skate|skatest|skatet|skatete|skatetest|skateten	213	17	74	7	0	0	0	35	6	0	0	0	36	7	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0
484	262	Feuer	speien	0	Feuerspeien	Optional	Object			7	Feuern	gespien	X	speit|speie|spien|speien|spie	57	11	15	1	39	2	0	6	1	1	1	0	37	14	235	16	0	0	0	44	0	1	0	0	0	0	0	0	7	0	0	0	1	90	0
258	263	Computer	spielen	0	Computerspielen	Optional	Adjunct			15	Computern	gespielt	X	spielte|spielen|spielten|spielt|spielst|spiele	9326	127	654	14	215	6	5	160	8	26	3	2	10491	170	522	47	40	1	0	42	2	14	0	193	2	0	2	1	58	8	0	16037	270	94	20
261	264	Theater	spielen	0	Theaterspielen	Optional	Undetermined			14	Theatern	gespielt	X	spielte|spielen|spielten|spielt|spielst|spiele	1519	14	464	4	110	2	1	330	8	55	1	4	895	19	1477	21	7	0	1	378	4	115	0	13	0	0	1	1	857	9	0	182	2	327	7
372	265	Fußball	spielen	0	Fußballspielen	Optional	Object			10	Fußbälle	gespielt	X	spielte|spielen|spielten|spielt|spielst|spiele	7312	183	2017	38	922	35	4	1351	24	402	18	4	4678	176	8173	289	23	3	3	2288	40	223	3	70	0	0	14	1	3457	95	1	3040	39	1504	48
425	266	Klavier	spielen	0	Klavierspielen	Optional	Object			8	Klavier	gespielt	X	spielte|spielen|spielten|spielt|spielst|spiele	1826	68	582	7	246	7	0	380	9	50	2	0	1170	81	2109	96	10	1	0	431	13	25	1	42	1	0	2	1	295	24	1	10	4	566	20
649	267	Golf	spielen	0	Golfspielen	Optional	Object			5	golf	gespielt	X	spielte|spielen|spielten|spielt|spielst|spiele	1085	31	251	4	134	3	8	344	6	115	3	2	574	24	1956	39	16	1	0	307	5	20	0	4	1	0	1	0	226	3	0	46	1	283	8
22	268	Ski	springen	0	Skispringen	Intransitive	Adjunct			253	Ski	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	1948	102	283	10	0	1	2	550	24	0	0	1	1381	83	9	5	8	0	0	2	0	14	0	0	0	0	0	1	3	0	0	3	4	2	0
25	269	Fallschirm	springen	0	Fallschirmspringen	Intransitive	Adjunct			237	Fallschirmen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	1905	74	233	7	16	1	0	485	5	9	0	0	1780	86	130	5	7	0	0	22	0	11	0	0	0	0	3	1	21	2	0	3	2	10	1
38	270	Seil	springen	0	Seilspringen	Intransitive	Adjunct			138	Seile	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	1245	94	133	0	27	1	0	205	5	10	5	5	17	0	0	1205	127	88	4	0	0	0	12	0	8	1	1	0	0	3	2	21	0	0	6
65	271	Trampolin	springen	0	Trampolinspringen	Intransitive	Adjunct			75	Trampolinen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	618	11	76	0	50	0	1	149	1	19	1	1	583	11	301	12	9	0	0	15	1	1	0	2	0	0	0	0	23	1	0	0	0	6	0
76	272	Stil	springen	0	Stilspringen	Intransitive	Adjunct			64	Stilen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	325	2	100	1	0	0	0	124	1	0	0	0	108	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	273	Wasser	springen	0	Wasserspringen	Intransitive	Adjunct			45	Wassern	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	384	4	38	0	185	11	2	147	0	698	28	4	300	4	53	1	0	0	0	7	0	0	0	0	0	0	1	0	15	1	0	0	0	16	0
146	274	Zeit	springen	0	Zeitspringen	Intransitive	Adjunct			28	Zeiten	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	163	3	67	1	48	0	0	42	0	1	0	0	47	2	4	4	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	11	1
176	275	Kunst	springen	0	Kunstspringen	Intransitive	Adjunct			22	Künste	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	166	1	21	0	0	0	0	82	0	0	0	0	85	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
251	276	Seilchen	springen	0	Seilchenspringen	Intransitive	Adjunct			15	Seilchen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	100	5	12	0	0	0	0	19	2	2	0	0	90	7	44	5	0	0	0	6	1	0	0	0	0	0	0	0	5	0	0	1	1	3	0
263	277	Tandem	springen	0	Tandemspringen	Intransitive	Adjunct			14	Tandems	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	138	4	23	0	0	0	0	32	0	1	0	1	106	4	0	0	2	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0
281	278	Weltcup	springen	0	Weltcupspringen	Intransitive	Adjunct			13	Weltcups	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	85	1	21	0	0	0	2	18	0	0	0	4	21	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	279	Ziel	springen	0	Zielspringen	Intransitive	Adjunct			12	Ziele	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	69	0	16	0	2	0	0	24	0	5	0	0	34	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
306	280	Team	springen	0	Teamspringen	Intransitive	Adjunct			12	Teams	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	85	5	34	2	2	0	0	43	5	0	0	1	10	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1
315	281	Insel	springen	0	Inselspringen	Intransitive	Adjunct			12	Inseln	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	68	1	17	0	7	0	0	5	0	0	0	0	36	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
320	282	Bock	springen	0	Bockspringen	Intransitive	Adjunct			12	Böcke	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	151	7	12	1	8	0	0	44	0	2	0	0	126	12	7	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0
415	283	Parcours	springen	0	Parcoursspringen	Intransitive	Adjunct			8	Parcours	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	65	1	18	0	7	0	0	18	0	2	1	0	47	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
536	284	Jagd	springen	0	Jagdspringen	Intransitive	Adjunct			6	Jagd	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	44	0	15	0	2	0	0	6	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
570	285	Auftakt	springen	0	Auftaktspringen	Intransitive	Adjunct			6	Auftakten	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	77	4	33	1	0	0	0	22	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
643	286	Haupt	springen	0	Hauptspringen	Intransitive	Adjunct			5	Häupter	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	45	0	32	0	1	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
672	287	Barriere	springen	0	Barrierespringen	Intransitive	Adjunct			5	Barrieren	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	16	1	14	0	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	288	Schlange	stehen	0	Schlangestehen	Intransitive	Adjunct			79	Schlangen	gestanden	X	stehn|ständen|stehen|stehe|stehts|stünden|stand|standen|stünde|stehst|steht|stehet	747	57	187	4	573	17	0	106	1	28	1	0	398	51	1913	103	3	0	1	110	9	4	0	1	0	0	0	1	136	3	0	4	5	345	12
422	289	Modell	stehen	0	Modellstehen	Intransitive	Adjunct			8	Modellen	gestanden	X	stehn|ständen|stehen|stehe|stehts|stünden|stand|standen|stünde|stehst|steht|stehet	42	3	11	0	36	0	0	4	0	9	0	0	21	3	285	6	0	0	0	80	2	3	0	5	0	0	0	1	302	10	0	16	1	265	6
580	290	Wache	stehen	0	Wachestehen	Intransitive	Adjunct			5	Wachen	gestanden	X	stehn|ständen|stehen|stehe|stehts|stünden|stand|standen|stünde|stehst|steht|stehet	30	0	5	0	26	0	0	10	1	1	0	0	10	1	153	7	0	0	0	27	2	0	0	0	0	0	0	0	41	1	0	0	0	130	9
120	291	Berg	steigen	0	Bergsteigen	Intransitive	Adjunct			36	Bergen	gestiegen	X	steigt|steige|stiegen|steigst|steigen|stieg|stiege	4735	321	560	3	105	0	0	1003	27	5	0	0	4310	420	28	5	0	0	4	3	1	20	1	2	0	0	0	3	4	1	0	43	10	6	0
321	292	Bein	stellen	0	Beinstellen	Transitive	Object			12	Beine	gestellt	X	stellte|stellten|stellen|stelle|stellt|stellst	207	5	31	3	902	12	1	7	0	3	0	0	189	2	34	27	5	0	0	11	10	0	0	0	0	0	0	1	14	21	0	1	0	10	16
189	293	Stein	stoßen	0	Steinstoßen	Transitive	Object			20	Steine	gestoßen	X	stoßen|stießen|stoße|stiess|stossen|stieß|stosse|stoßt|stosst|stößt|stiessen|stieße|stösst	242	1	25	0	20	0	0	107	1	1	0	0	170	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	8	0
624	294	Lid	straffen	0	Lidstraffen	Transitive	Object			5	Lider	gestrafft	X	straffte|straffe|strafft|strafften|straffen	5	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	295	Wind	surfen	0	Windsurfen	Intransitive	Adjunct			477	Winde	gesurft	X	surf|surfte|surfe|surften|surfst|surfen|surft	4346	276	355	6	7	1	0	741	29	1	0	0	4839	353	11	2	4	0	1	0	1	10	2	0	0	0	0	1	0	0	0	779	24	0	1
55	296	Internet	surfen	0	Internetsurfen	Intransitive	Adjunct			91	Internets	gesurft	X	surf|surfte|surfe|surften|surfst|surfen|surft	772	32	93	3	105	2	4	198	10	5359	105	112	372	23	276	31	39	0	0	17	4	3	0	1	0	0	1	0	12	1	0	2	2	12	3
186	297	Web	surfen	0	Websurfen	Intransitive	Adjunct			20	Web	gesurft	X	surf|surfte|surfe|surften|surfst|surfen|surft	181	6	19	0	16	0	0	85	2	387	13	7	108	7	18	1	0	0	0	3	1	1	0	0	0	0	0	0	1	0	0	2	2	5	1
