Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
69	Kaffee	kochen	0			69	Kaffees	gekocht	X	kocht|kochte|kochten|kochen|koche	570	18	89	0	280	8	1	216	7	82	3	1	362	17	1693	78	13	0	0	248	4	3	1	5	1	0	0	0	398	8	0	1	0	157	7
167	Show	kochen	0			23	Shows	gekocht	X	kocht|kochte|kochten|kochen|koche	189	1	40	1	0	0	0	33	0	0	0	0	117	1	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
187	Wasser	kochen	0			20	Wassern	gekocht	X	kocht|kochte|kochten|kochen|koche	112	2	24	1	126	2	0	57	2	59	4	1	47	1	1116	45	12	0	0	57	2	0	0	4	0	0	1	0	588	14	1	8	0	247	30
218	Essen	kochen	0			18	Essen	gekocht	X	kocht|kochte|kochten|kochen|koche	107	1	26	0	103	0	3	57	0	62	12	1	62	2	730	187	9	0	0	118	20	1	0	2	0	0	1	0	151	37	1	0	0	88	30
245	Würze	kochen	0			15	Würze	gekocht	X	kocht|kochte|kochten|kochen|koche	37	0	13	0	2	0	0	19	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
248	Tee	kochen	0			15	Tees	gekocht	X	kocht|kochte|kochten|kochen|koche	137	2	19	0	116	5	1	59	0	17	3	0	74	4	432	25	4	0	0	127	0	1	0	2	0	0	0	0	227	8	0	1	0	60	7
413	Reis	kochen	0			8	Reis	gekocht	X	kocht|kochte|kochten|kochen|koche	47	3	15	1	71	3	0	24	1	8	0	0	10	0	184	12	2	0	0	31	1	0	0	1	0	0	0	0	86	10	0	0	0	32	2
527	Marmelade	kochen	0			6	Marmeladen	gekocht	X	kocht|kochte|kochten|kochen|koche	66	0	3	0	12	0	0	35	0	17	1	0	18	0	172	5	0	0	0	23	0	1	0	0	0	0	0	0	93	4	0	0	0	28	1
77	Raub	kopieren	0			63	Raubs	kopiert	X	kopierte|kopiere|kopiert|kopierten|kopieren	601	215	160	28	3	0	0	76	8	0	0	0	328	251	0	0	0	1	11	0	0	1	0	0	0	0	32	274	0	0	0	77	653	1	0
455	Rücken	kraulen	0			7	Rücken	gekrault	X	kraulten|krault|kraulen|kraulte	35	0	8	0	44	3	1	3	1	0	0	0	33	0	22	3	0	0	0	3	0	0	0	2	0	0	0	0	7	1	0	0	0	3	1
299	Arsch	kriechen	0			13	Ärsche	gekrochen	X	krochen|kriecht|kreucht|kroch|kreuchen|kriechen	101	50	21	8	197	59	0	16	2	5	0	0	80	52	19	11	0	1	1	5	1	2	1	0	0	0	0	2	4	2	0	1	2	4	2
353	Traum	landen	0			10	Träume	gelandet	X	landet|landete|lande|landen|landest|landeten	34	0	31	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	71	2	1	0
354	Stamm	landen	0			10	Stämme	gelandet	X	landet|landete|lande|landen|landest|landeten	119	0	25	0	0	0	0	0	0	0	0	0	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	165	0	0	0
658	Feuer	landen	0			5	Feuern	gelandet	X	landet|landete|lande|landen|landest|landeten	91	1	91	1	1	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	2	0	0
15	Wasser	lassen	0			380	Wassern	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	3595	110	499	9	137	3	1	1980	45	330	26	0	366	53	1084	62	3	0	4	278	8	1	0	8	0	1	4	2	1378	11	0	0	2	327	12
255	Harn	lassen	0			15	Harn	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	152	8	21	0	2	0	0	62	4	2	0	0	26	3	17	1	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
301	Ader	lassen	0			13	Ader	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	89	7	25	0	0	0	0	22	0	75	0	0	52	5	12	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	10	0	2	0
576	Zeit	lassen	0			5	Zeiten	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	49	47	12	4	2976	30	2	2	0	39	3	0	30	73	8015	1099	1	0	0	653	44	0	0	0	0	0	5	29	2224	277	0	0	9	1901	222
20	Eis	laufen	0			264	Eis	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	2282	256	265	1	37	0	0	506	19	22	0	1	2054	303	156	4	0	1	8	15	0	26	0	1	0	0	4	8	12	0	0	3	11	13	3
151	Amok	laufen	0			28	Amok	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	207	89	18	3	76	4	1	27	2	8	2	0	163	91	1113	215	4	4	5	293	35	3	0	2	0	0	9	12	418	90	1	18	19	653	88
203	Marathon	laufen	0			19	Marathons	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	172	7	40	2	642	12	2	48	1	40	1	0	139	4	499	13	11	0	2	115	3	2	0	1	0	0	0	0	249	9	0	2	0	131	5
327	Slalom	laufen	0			11	Slaloms	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	52	3	15	0	5	1	0	8	1	12	0	0	49	3	105	6	0	0	0	16	1	0	0	0	0	0	0	0	7	2	0	0	0	8	1
373	Fuß	laufen	0			10	Füsse	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	89	9	13	1	19	1	1	20	4	9	1	0	45	8	709	46	2	1	0	72	4	0	0	11	0	0	0	0	112	7	0	2	0	115	5
377	Cross	laufen	0			10	Cross	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	47	1	7	0	4	0	0	15	0	1	0	0	25	1	13	3	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	6	0
391	Paar	laufen	0			9	Paare	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	80	4	13	0	3	15	0	59	1	0	0	0	28	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
452	Show	laufen	0			7	Shows	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	27	3	9	0	18	3	0	9	0	0	0	0	8	2	20	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	63	3
498	Watt	laufen	0			6	Watt	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	40	6	4	0	13	0	0	3	0	13	0	0	47	6	32	7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	22	2
513	Schi	laufen	0			6	Schi	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	58	2	3	0	1	0	0	17	0	0	0	0	41	3	7	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0
568	Ausdauer	laufen	0			6	Ausdauer	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	24	0	6	1	1	0	0	1	0	0	0	0	22	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
598	Seil	laufen	0			5	Seile	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	42	3	6	0	18	1	0	5	0	2	0	0	61	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
626	Leine	laufen	0			5	Leinen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	43	0	12	0	518	28	4	7	0	0	0	0	11	0	2221	156	19	0	0	47	3	2	0	0	0	0	0	0	45	7	0	0	0	170	15
666	Bogen	laufen	0			5	Bögen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	43	1	12	0	46	2	0	16	0	6	0	0	22	1	34	3	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	1	0	5	2
361	Mast	legen	0			10	Masten	gelegt	X	legte|legst|lege|legten|legen|legt	59	2	18	0	40	0	0	17	1	1	0	0	29	0	24	1	0	0	0	2	0	0	0	0	0	0	0	0	14	0	0	4	0	1	0
369	Grab	legen	0			10	Gräber	gelegt	X	legte|legst|lege|legten|legen|legt	194	0	63	0	41	0	0	1	0	84	2	0	89	0	67	3	0	0	0	13	1	0	0	1	0	0	0	0	54	3	0	1223	0	16	1
434	Feuer	legen	0			8	Feuern	gelegt	X	legte|legst|lege|legten|legen|legt	35	1	8	0	56	2	0	8	0	1343	125	2	16	2	222	25	0	0	0	92	3	1	0	1	0	0	0	0	334	5	0	0	0	74	3
635	Kabel	legen	0			5	Kabeln	gelegt	X	legte|legst|lege|legten|legen|legt	22	3	7	1	90	8	1	7	1	3	3	0	10	1	162	31	0	0	0	19	6	1	0	0	0	0	0	0	52	3	0	0	0	5	3
234	Spiel	leiten	0			16	Spiele	geleitet	X	leitet|leitete|leitest|leiteten|leiten|leite	93	15	15	0	188	3	0	19	2	2	0	0	37	15	16	5	1	0	0	4	3	2	0	0	0	0	1	1	4	0	0	32	18	9	2
100	Feder	lesen	0			47	Federn	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las	402	11	202	1	1	0	0	3	0	0	0	0	86	15	24	0	0	0	0	22	2	0	0	0	0	0	0	0	14	0	0	12	1	7	0
630	Korrektur	lesen	0			5	Korrekturen	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las	1704	264	408	8	32	2	0	470	25	22	4	1	876	289	655	76	5	3	36	199	27	11	0	2	0	0	25	215	527	31	0	7	26	118	11
675	Anker	lichten	0			5	Anker	gelichtet	X	lichtet|lichte|lichtete|lichteten|lichten	25	1	2	0	89	0	0	16	1	4	0	0	6	0	104	2	0	0	0	4	0	0	0	0	0	0	0	0	25	0	1	0	0	9	0
