Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
507	Staub	baden	0			6	Stäuben	gebadet	X	baden|bade|badet|badeten|badete	5	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612	Probe	baden	0			5	Proben	gebadet	X	baden|bade|badet|badeten|badete	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
561	Body	bangen	0			6	Bodys	gebangt	X	bangte|bange|bangt|bangten|bangen	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
193	Haus	bauen	0			20	Häusern	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	18	0	3	0	192	2	1	8	0	3	1	0	5	0	44	9	0	0	0	9	4	1	0	1	1	0	1	1	29	5	0	4	0	11	3
417	Nest	bauen	0			8	Nestern	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	8	0	1	0	22	0	0	3	0	0	0	0	1	0	16	2	0	0	0	2	0	1	0	1	0	0	0	0	16	0	0	4	0	9	1
523	Modell	bauen	0			6	Modellen	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	5	1	3	0	12	1	0	1	0	1	0	0	0	1	3	0	1	0	0	3	0	0	0	0	0	0	0	0	6	0	0	12	1	2	0
636	Häusle	bauen	0			5	Häusle	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	3	1	0	0	2	0	0	1	1	1	0	0	2	0	12	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	17	1
653	Gehäuse	berechnen	0	be		5	Gehäusen	berechnet	X	berechneten|berechnen|berechnete|berechne|berechnet	5	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	Pulver	beschichten	0	be		49	Pulver	beschichtet	X	beschichtete|beschichtet|beschichteten|beschichten	46	46	1	1	0	0	0	12	1	0	0	0	27	39	1	0	0	0	0	0	0	0	0	0	0	0	18	116	2	1	0	27	166	2	1
467	Laser	beschriften	0	be		7	Lasern	beschriftet	X	beschriftet|beschriften|beschrifteten|beschriftete	7	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
229	Band	bestehen	0	be		17	Bände	bestanden	X	bestanden|bestehst|bestünde|besteht|bestand|bestünden|bestehe|bestehen	12	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1
646	Hand	biken	0			5	Hände	gebiket	X	bike|bikest|biket|bikete|biketest|biketet|biketen	5	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	1
490	Buch	binden	0			7	Büchern	gebunden	X	banden|binde|binden|band|bänden|bindet|bände	18	0	0	0	4	0	0	11	0	0	0	0	6	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	27	2	1	0
475	Glas	blasen	0			7	Gläsern	geblasen	X	blasen|blase|bläst|blies|blast|bliesen	11	0	3	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0
478	Gast	bloggen	0			7	Gästen	gebloggt	X	bloggt|bloggte|blogge|bloggen|bloggten|bloggst	5	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	Sand	boarden	0			16	Sande	geboardet	X	boarde|boardest|boardet|boardete|boardetest|boardeten	14	0	1	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
481	Finger	boarden	0			7	Finger	geboardet	X	boarde|boardest|boardet|boardete|boardetest|boardeten	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
