Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
180	Note	lesen	n			5	Noten	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las
207	Aufgabe	lösen	n			5	Aufgaben	gelöst	X	lösten|lösen|löste|löse|löst
4	Film	machen	e			220	Filme	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
11	Schuld	machen	en			99	Schulden	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
24	Bild	machen	er			37	Bilder	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
31	Bett	machen	en			29	Betten	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
35	Geschäft	machen	e			26	Geschäfts	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
61	Buch	machen	~er			16	Büchern	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
88	Kind	machen	er			10	Kinder	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
97	Lied	machen	er			9	Lieder	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
138	Uhr	machen	en			6	Uhren	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
194	Hausaufgabe	machen	n			5	Hausaufgaben	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
202	Gedanke	machen	n			5	Gedanken	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts
33	Maus	melken	~e			27	Mäuse	gemolken	X	molk|melkt|melken
204	Farbe	mischen	n			5	Farben	gemischt	X	mischt|mischte|mische|mischen|mischst|mischten
170	Volk	morden	~er			5	Völker	gemordet	X	mordeten|morden|mordet|mordete|morde
91	Auge	öffnen	n			10	Augen	geöffnet	X	öffneten|öffnest|öffne|öffnete|öffnet|öffnen
131	Dose	öffnen	n			7	Dosen	geöffnet	X	öffneten|öffnest|öffne|öffnete|öffnet|öffnen
45	Blume	pflücken	n			21	Blumen	gepflückt	X	pflückte|pflückten|pflücken|pflücke|pflückt
98	Kirsche	pflücken	n			9	Kirschen	gepflückt	X	pflückte|pflückten|pflücken|pflücke|pflückt
133	Beere	pflücken	n			7	Beeren	gepflückt	X	pflückte|pflückten|pflücken|pflücke|pflückt
42	Rosine	picken	n			22	Rosinen	gepickt	X	pickte|picket|pickt|pickten|picke|picken
114	Ei	picken	er			8	Eier	gepickt	X	pickte|picket|pickt|pickten|picke|picken
87	Krabbe	pulen	n			10	Krabben	gepult	X	pule|pulst|pult|pulen|pulte|pultest|pulte|pulten|pultet
54	Zahn	putzen	~e			17	Zähne	geputzt	X	putzt|putze|putzte|putzen|putzten
17	Zigarette	rauchen	n			56	Zigaretten	geraucht	X	raucht|rauchen|rauche|rauchst|rauchten|rauchte
55	Kette	rauchen	n			17	Ketten	geraucht	X	raucht|rauchen|rauche|rauchst|rauchten|rauchte
92	Zigarre	rauchen	n			9	Zigarren	geraucht	X	raucht|rauchen|rauche|rauchst|rauchten|rauchte
19	Haar	raufen	e			46	Haare	gerauft	X	raufte|rauft|rauften|raufen
123	Mine	räumen	n			7	Minen	geräumt	X	räume|räumt|räumen|räumten|räumte
134	Zunge	reden	n			6	Zungen	geredet	X	redeten|redete|redet|redest|rede|reden
85	Waffe	reinigen	n			10	Waffen	gereinigt	X	reinige|reinigt|reinigten|reinigen|reinigte
120	Scheibe	reinigen	n			7	Scheiben	gereinigt	X	reinige|reinigt|reinigten|reinigen|reinigte
46	Elefant	reiten	en			20	Elefanten	geritten	X	ritt|reitet|reitest|reite|ritten|reiten
48	Bulle	reiten	n			19	Bullen	geritten	X	ritt|reitet|reitest|reite|ritten|reiten
70	Pferd	reiten	e			13	Pferde	geritten	X	ritt|reitet|reitest|reite|ritten|reiten
101	Gans	reiten	~e			9	Gänse	geritten	X	ritt|reitet|reitest|reite|ritten|reiten
152	Lanze	reiten	n			6	Lanzen	geritten	X	ritt|reitet|reitest|reite|ritten|reiten
206	Aufgabe	reiten	n			5	Aufgaben	geritten	X	ritt|reitet|reitest|reite|ritten|reiten
183	Lunge	röntgen	n			5	Lungen	geröntgt	X	röntgt|röntgen
189	Kartoffel	schälen	n			5	Kartoffeln	geschält	X	schält|schäle|schälen|schälte|schälten
53	Ähre	schieben	n			17	Ähren	geschoben	X	schöben|schoben|schiebt|schiebst|schob|schiebe|schieben
7	Tor	schießen	e			140	Tore	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
8	Pistole	schießen	n			134	Pistolen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
16	Scheibe	schießen	n			57	Scheiben	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
36	Vergleich	schießen	s			24	Vergleiche	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
51	Freundschaft	schießen	s			18	Freundschaften	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
67	Bezirk	schießen	s			14	Bezirke	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
69	Präzision	schießen	s			13	Präzision	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
74	Entscheidung	schießen	s			13	Entscheidungen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
76	Gast	schießen	~e			12	Gäste	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
77	Flinte	schießen	n			12	Flinten	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
89	Jubiläum	schießen	s			10	Jubiläen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
105	Verteidigung	schießen	s			8	Verteidigungen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
118	Training	schießen	s			7	Trainings	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
125	Mannschaft	schießen	s			7	Mannschaften	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
128	Gans	schießen	~e			7	Gänse	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
161	Dose	schießen	n			6	Dosen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
162	Büchse	schießen	n			6	Büchsen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
166	Bedingung	schießen	s			6	Bedingungen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
175	Senior	schießen	en			5	Senioren	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
177	Prinz	schießen	en			5	Prinzen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
182	Medaille	schießen	n			5	Medaillen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen
163	Brücke	schlagen	n			6	Brücken	geschlagen	X	schlage|schlägt|schlug|schlügen|schlagt|schlagen|schlugen|schlägst
198	Haar	schneiden	e			5	Haare	geschnitten	X	schneidet|schnitten|schneide|schneiden|schneidest|schnitt|schnitte
