# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
Platte_+n_auflegen	9	
Pferd_+e_stehlen	9	
Orientierung_+s_tauchen	9	
Nase_+n_laufen	9	
Mensch_+en_denken	9	
Lied_+er_machen	9	
Lager_+s_hausen	9	
Kunde_+n_anschreiben	9	
Krieg_+s_gefallen	9	
Klasse_+n_denken	9	
Kirsche_+n_pflücken	9	
Gruppe_+n_fahren	9	
Gott_+=er_wirken	9	
Glocke_+n_gießen	9	
Geruch_+s_empfinden	9	
Gemeinschaft_+s_denken	9	
Gefühl_+s_empfinden	9	
Gebet_+s_gedenken	9	
Gans_+=e_reiten	9	
Führung_+s_versagen	9	
Fortsetzung_+s_begehren	9	
Dienstag_+s_kochen	9	
Depression_+s_erfahren	9	
Bombe_+n_legen	9	
Ausscheidung_+s_fahren	9	
Auge_+n_verdrehen	9	
Anteil_+s_eigen	9	
Adoption_+s_übereinkommen	9	
Abteilung_+s_denken	9	
Wirtschaft_+s_bezogen	8	
Verteidigung_+s_schießen	8	
Stern_+e_gucken	8	
Staat_+s_gefangen	8	
Soldat_+en_gedenken	8	
Rakete_+n_werfen	8	
Punkt_+e_zählen	8	
Nase_+n_bohren	8	
Maschine_+n_zeichnen	8	
Lähmung_+s_schielen	8	
Kunde_+n_eigen	8	
Krieg_+s_willigen	8	
Kralle_+n_wetzen	8	
Karte_+n_zeichnen	8	
Hexe_+n_brennen	8	
Gedanke_+n_lesen	8	
Erfahrung_+s_austauschen	8	
Ei_+er_picken	8	
Burg_+en_bauen	8	
Billing_+s_hausen	8	
Belastung_+s_empfinden	8	
Zwang_+s_ernähren	7	
Zustellung_+s_übereinkommen	7	
Zicke_+n_kicken	7	
Zahn_+=e_zusammenbeißen	7	
Widerstand_+s_schweißen	7	
Wertung_+s_schießen	7	
Walze_+n_hausen	7	
Vibration_+s_empfinden	7	
Verbindung_+s_anfragen	7	
Training_+s_schießen	7	
Stein_+e_klopfen	7	
Schwert_+er_klirren	7	
Scheibe_+n_reinigen	7	
Psalm_+en_singen	7	
Ort_+s_beauftragen	7	
Organisation_+s_versagen	7	
Münze_+n_werfen	7	
Mine_+n_räumen	7	
Martin_+s_singen	7	
Mannschaft_+s_schießen	7	
Leistung_+s_singen	7	
Krug_+=e_werfen	7	
Kind_+er_tanzen	7	
