Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
453	Schlüssel	drehen	0			7	Schlüssel	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
470	Kopf	drehen	0			7	Köpfe	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
483	Film	drehen	0			7	Filme	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
586	Teller	drehen	0			5	Teller	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
613	Plan	drehen	0			5	Pläne	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
623	Los	drehen	0			5	Losen	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
342	Film	einlegen	0		ein	11	Filme	eingelegt	einzulegen	einlegen|einlege|einlegt|einlegten|einlegte
371	Gang	einlegen	0		ein	10	Gänge	eingelegt	einzulegen	einlegen|einlege|einlegt|einlegten|einlegte
409	Ventil	einstellen	0		ein	8	Ventile	eingestellt	einzustellen	einstellten|einstellen|einstellte|einstelle|einstellt
508	Spur	einstellen	0		ein	6	Spuren	eingestellt	einzustellen	einstellten|einstellen|einstellte|einstelle|einstellt
543	Geld	eintreiben	0		ein	6	Gelder	eingetrieben	einzutreiben	eintrieb|eintreibt|eintreiben|eintrieben
314	Moral	empfinden	0			12	Moral	empfunden	X	empfänden|empfindest|empfindet|empfanden|empfand|empfinden|empfinde|empfände
313	Natur	erkennen	0	er		12	Naturen	erkannt	X	erkannten|erkannte|erkenne|erkennen|erkennten|erkennte|erkennst|erkennt
122	Ei	erlaufen	0	er		35	Eier	erlaufen	X	erläuft|erliefen|erlaufen|erlief
144	Körper	erleben	0	er		29	Körper	erlebt	X	erlebt|erlebten|erlebte|erleben|erlebst|erlebe
147	Zeit	erleben	0	er		28	Zeiten	erlebt	X	erlebt|erlebten|erlebte|erleben|erlebst|erlebe
335	Raum	erleben	0	er		11	Räumen	erlebt	X	erlebt|erlebten|erlebte|erleben|erlebst|erlebe
423	Kultur	erleben	0	er		8	Kulturen	erlebt	X	erlebt|erlebten|erlebte|erleben|erlebst|erlebe
58	Ei	erlegen	0	er		86	Eier	erlegt	X	erlegten|erlegt|erlegte|erlegen
319	Draht	erodieren	0			12	Drähte	erodiert	X	erodiert|erodierte|erodierten|erodieren
360	Märchen	erzählen	0	er		10	Märchen	erzählt	X	erzählt|erzählten|erzählte|erzählst|erzählen|erzähle
1	Rad	fahren	0			3433	Räder	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
2	Auto	fahren	0			2338	auto	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
3	Ski	fahren	0			1775	Ski	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
6	Fahrrad	fahren	0			798	Fahrräder	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
8	Motorrad	fahren	0			553	Motorräder	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
12	Zeit	fahren	0			444	Zeiten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
