Index	Noun	Verb	Linking	Prefix	Particle	Freq
400	Holz	machen	0			9
446	Urlaub	machen	0			7
459	Profit	machen	0			7
530	Käse	machen	0			6
547	Foto	machen	0			6
585	Tempo	machen	0			5
621	Lust	machen	0			5
629	Kreuzchen	machen	0			5
655	Frühstück	machen	0			5
28	Rasen	mähen	0			200
395	Kiefer	mahlen	0			9
468	Korn	mahlen	0			7
650	Getreide	mahlen	0			5
393	Kuh	melken	0			9
216	Gift	mischen	0			18
380	Ballon	modellieren	0			10
379	Bett	nässen	0			10
4	Teil	nehmen	0			848
21	Abschied	nehmen	0			259
109	Maß	nehmen	0			41
170	Platz	nehmen	0			23
381	Anteil	nehmen	0			10
405	Abstand	nehmen	0			9
495	Zeit	nehmen	0			6
499	Wasser	nehmen	0			6
505	Stellung	nehmen	0			6
607	Rücksicht	nehmen	0			5
659	Einfluss	nehmen	0			5
23	Kopf	nicken	0			251
134	Tür	öffnen	0			31
435	Blümchen	pflücken	0			8
239	Feder	picken	0			16
620	Moral	predigen	0			5
644	Hass	predigen	0			5
424	Kreis	punzen	0			8
118	Kunst	radfahren	0			36
608	Rätsel	raten	0			5
94	Tabak	rauchen	0			48
520	Pfeife	rauchen	0			6
539	Haschisch	rauchen	0			6
43	Kopf	rechnen	0			129
113	Bruch	rechnen	0			39
169	Prozent	rechnen	0			23
205	Fach	rechnen	0			19
667	Blitz	rechnen	0			5
456	Revier	reinigen	0			7
502	Ultraschall	reinigen	0			6
349	Zeit	reisen	0			10
18	Western	reiten	0			315
19	Pony	reiten	0			274
42	Dressur	reiten	0			131
81	Distanz	reiten	0			59
103	Kamel	reiten	0			45
116	Gelände	reiten	0			38
127	Probe	reiten	0			34
154	Freizeit	reiten	0			26
159	Esel	reiten	0			25
175	Ring	reiten	0			22
183	Jagd	reiten	0			21
221	Turnier	reiten	0			17
294	Hof	reiten	0			13
307	Schritt	reiten	0			12
402	Busch	reiten	0			9
419	Musik	reiten	0			8
473	Hindernis	reiten	0			7
509	Sport	reiten	0			6
545	Gang	reiten	0			6
656	Fron	reiten	0			5
311	Ring	richten	0			12
209	Wald	roden	0			18
618	Panorama	röntgen	0			5
45	Koma	saufen	0			124
432	Frust	saufen	0			8
535	Kampf	saufen	0			6
553	Eimer	saufen	0			6
564	Bier	saufen	0			6
657	Flatrate	saufen	0			5
132	Kartoffel	schälen	0			32
265	Schnee	schieben	0			14
408	Wache	schieben	0			8
5	Bogen	schießen	0			812
33	Vogel	schießen	0			157
36	Preis	schießen	0			146
37	Penalty	schießen	0			139
52	Sport	schießen	0			96
54	Pokal	schießen	0			92
92	Gau	schießen	0			49
119	Eis	schießen	0			36
135	Probe	schießen	0			31
139	Meter	schießen	0			30
165	Ziel	schießen	0			23
199	Stock	schießen	0			19
223	Strafstoß	schießen	0			17
233	Tor	schießen	0			16
278	Böller	schießen	0			14
325	Vorderlader	schießen	0			11
332	Schluss	schießen	0			11
340	Gewehr	schießen	0			11
348	Adler	schießen	0			11
357	Salut	schießen	0			10
367	Kloot	schießen	0			10
382	Western	schießen	0			9
397	Kaiser	schießen	0			9
418	Nacht	schießen	0			8
447	Test	schießen	0			7
489	Dorf	schießen	0			7
577	Wettkampf	schießen	0			5
594	Spaß	schießen	0			5
617	Panzer	schießen	0			5
637	Hubertus	schießen	0			5
641	Herbst	schießen	0			5
663	Bürger	schießen	0			5
323	Zeit	schinden	0			11
611	Probe	schlafen	0			5
87	Topf	schlagen	0			52
117	Flügel	schlagen	0			38
158	Lenker	schlagen	0			25
204	Kopf	schlagen	0			19
256	Haken	schlagen	0			15
287	Rad	schlagen	0			13
343	Feuer	schlagen	0			11
537	Holz	schlagen	0			6
601	Schweif	schlagen	0			5
605	Schaum	schlagen	0			5
17	Zucker	schlecken	0			324
178	Honig	schlecken	0			22
551	Eis	schlecken	0			6
410	Streit	schlichten	0			8
662	Cocktail	schlürfen	0			5
157	Luft	schnappen	0			25
